STATIONING (ft),LATITUDE,LONGITUDE,PS_ON,PS_OFF,COMMENTS
1480,39.4987831,-93.3385239,-0.513,-0.493,
1482.5,39.4987831,-93.338501,-0.454,-0.42,
1485,39.4987793,-93.3384857,-0.485,-0.476,
1487.5,39.4987793,-93.3384705,-0.475,-0.415,
1490,39.4987717,-93.3384552,-0.464,-0.453,
1492.5,39.4987678,-93.3384476,-0.504,-0.491,
1495,39.4987678,-93.3384247,-0.464,-0.454,
1497.5,39.4987678,-93.338417,-0.471,-0.456,
1500,39.4987602,-93.3384018,-0.467,-0.455,
1502.5,39.4987526,-93.3383865,-0.47,-0.45,
1505,39.4987526,-93.3383713,-0.45,-0.436,
1507.5,39.4987564,-93.3383636,-0.485,-0.458,
1510,39.4987564,-93.3383408,-0.461,-0.44,
1512.5,39.4987526,-93.3383331,-0.499,-0.489,
1515,39.4987526,-93.3383102,-0.463,-0.45,
1517.5,39.4987564,-93.3383026,-0.484,-0.466,
1520,39.4987488,-93.3382721,-0.534,-0.475,
1522.5,39.4987412,-93.3382645,-0.475,-0.452,
1525,39.4987488,-93.3381424,-0.484,-0.466,
1527.5,39.4987564,-93.3381195,-0.526,-0.5,
1530,39.4987488,-93.3381119,-0.552,-0.534,
1532.5,39.4987488,-93.3380966,-0.558,-0.525,
1535,39.4987488,-93.3380737,-0.518,-0.509,
1537.5,39.4987526,-93.3380356,-0.524,-0.514,
1540,39.4987488,-93.3380051,-0.536,-0.526,
1542.5,39.498745,-93.3379746,-0.568,-0.519,
1545,39.4987373,-93.3379517,-0.53,-0.513,
1547.5,39.4987297,-93.3379211,-0.532,-0.518,
1550,39.4987297,-93.3378906,-0.502,-0.503,
1552.5,39.4987259,-93.3378754,-0.526,-0.524,
1555,39.4987221,-93.3378601,-0.533,-0.508,
1557.5,39.4987144,-93.3378448,-0.538,-0.527,4'
1560,39.498703,-93.337822,-0.551,-0.533,
1562.5,39.4986954,-93.3377991,-0.534,-0.508,
1565,39.4986992,-93.3377686,-0.538,-0.508,
1567.5,39.4987068,-93.337738,-0.54,-0.525,
1570,39.498703,-93.3377075,-0.535,-0.542,
1572.5,39.4986992,-93.337677,-0.535,-0.522,
1575,39.4986916,-93.3376541,-0.574,-0.556,
1577.5,39.4986763,-93.3376312,-0.553,-0.53,
1580,39.498661,-93.3375931,-0.545,-0.528,
